Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «подготовка к ielts» по регионам, 25.04.2026 — 25.05.2026, все устройства
Тамбовская область;4;0,00000673;36,10;
Вышний Волочёк;1;0,00003682;197,41;
Тверская область;7;0,00000810;43,43;
Тульская область;1;0,00000096;5,18;
Ярославская область;13;0,00001379;73,93;
Архангельская область;2;0,00000312;16,73;
Северодвинск;1;0,00000832;44,63;
Вологодская область;9;0,00001122;60,15;
Калининградская область;17;0,00002859;153,25;
Всеволожск;7;0,00009698;519,87;
Гатчина;2;0,00002858;153,24;
Пушкин;3;0,00007144;382,97;
Мурманская область;4;0,00000811;43,47;
Новгородская область;3;0,00000758;40,66;
Республика Карелия;1;0,00000269;14,42;
Республика Коми;2;0,00000425;22,82;
Астраханская область;3;0,00000627;33,62;
Волгоградская область;13;0,00000877;47,06;
Волжский;1;0,00000529;28,38;
Геленджик;7;0,00009846;527,82;
Краснодарский край;60;0,00001498;80,32;
Дербент;1;0,00002408;129,10;
Республика Дагестан;3;0,00000412;22,13;
Кабардино-Балкарская Республика;6;0,00001908;102,29;
Республика Калмыкия;1;0,00000883;47,34;
Карачаево-Черкесская Республика;2;0,00001344;72,06;
Республика Северная Осетия — Алания;5;0,00001934;103,66;
Чеченская Республика;1;0,00000461;24,71;
Ростовская область;31;0,00001099;58,94;
Волгодонск;4;0,00003758;201,44;
Кисловодск;1;0,00001713;91,85;
Минеральные Воды;1;0,00002472;132,51;
Пятигорск;3;0,00003128;167,72;
Ставропольский край;19;0,00001289;69,12;
Кировская область;5;0,00000647;34,69;
Республика Марий Эл;2;0,00000549;29,48;
Нижегородская область;47;0,00001683;90,25;
Оренбургская область;3;0,00000267;14,35;
Пензенская область;1;0,00000125;6,72;
Пермский край;19;0,00001219;65,38;
Республика Башкортостан;39;0,00001714;91,91;
Стерлитамак;2;0,00001351;72,45;
Республика Мордовия;11;0,00002590;138,84;
Республика Татарстан;71;0,00002921;156,59;
Альметьевск;6;0,00006513;349,13;
Бугульма;1;0,00002253;120,80;
Чистополь;1;0,00003552;190,44;
Самарская область;36;0,00001697;90,98;
Новокуйбышевск;3;0,00002911;156,06;
Балаково;2;0,00001867;100,07;
Саратовская область;12;0,00000815;43,68;
Энгельс;2;0,00001456;78,06;
Удмуртская Республика;11;0,00001160;62,21;
Воткинск;1;0,00002014;108,00;
Чувашская Республика;3;0,00000408;21,87;
Курганская область;5;0,00001222;65,54;
Свердловская область;40;0,00001184;63,50;
Каменск-Уральский;1;0,00000966;51,82;
Новоуральск;1;0,00002153;115,44;
Тюменская область;17;0,00001452;77,83;
Нефтеюганск;2;0,00002681;143,74;
Ханты-Мансийский автономный округ - Югра;14;0,00001299;69,68;
Миасс;2;0,00002111;113,15;
Озёрск;2;0,00004576;245,31;
Снежинск;1;0,00003382;181,30;
Челябинская область;22;0,00001014;54,35;
Ноябрьск;1;0,00001907;102,24;
Ямало-Ненецкий автономный округ;1;0,00000275;14,75;
Алтайский край;4;0,00000323;17,34;
Ангарск;2;0,00001578;84,60;
Иркутская область;16;0,00001082;58,01;
Усолье-Сибирское;1;0,00002528;135,51;
Усть-Илимск;1;0,00002546;136,50;
Белово;2;0,00005067;271,63;
Кемеровская область (Кузбасс);14;0,00000981;52,62;
