Регион;Число запросов;Доля от всех запросов, %;Индекс интереса (аффинити-индекс), %;Частотность запросов «обучение в италии» по регионам, 25.04.2026 — 25.05.2026, все устройства
Раменское;4;0,0000350;152,33;
Химки;40;0,0000805;350,12;
Чехов;2;0,0000319;138,96;
Щёлково;1;0,0000077;33,59;
Орловская область;12;0,0000236;102,61;
Рязанская область;11;0,0000130;56,79;
Смоленская область;9;0,0000152;66,34;
Тамбовская область;5;0,0000084;36,56;
Мичуринск;1;0,0000228;99,46;
Тверская область;12;0,0000138;60,34;
Новомосковск;3;0,0000343;149,35;
Тульская область;18;0,0000174;75,65;
Ярославская область;12;0,0000127;55,30;
Архангельская область;9;0,0000140;61,04;
Северодвинск;1;0,0000083;36,16;
Вологодская область;6;0,0000074;32,50;
Калининградская область;17;0,0000285;124,19;
Советск;1;0,0000706;306,73;
Всеволожск;5;0,0000692;300,93;
Гатчина;1;0,0000142;62,09;
Кировск;2;0,0000368;160,15;
Пушкин;1;0,0000238;103,45;
Сосновый Бор;5;0,0001046;454,51;
Мончегорск;3;0,0000998;433,75;
Мурманская область;5;0,0000101;44,04;
Новгородская область;12;0,0000303;131,80;
Псковская область;4;0,0000101;44,10;
Республика Карелия;8;0,0000215;93,50;
Сегежа;3;0,0002421;1 052,01;
Республика Коми;10;0,0000212;92,46;
Ухта;1;0,0000156;67,99;
Волгоградская область;21;0,0000141;61,61;
Волжский;1;0,0000052;23,00;
Геленджик;2;0,0000281;122,21;
Ейск;1;0,0000195;85,01;
Краснодарский край;105;0,0000262;113,91;
Республика Адыгея;12;0,0000491;213,35;
Республика Дагестан;3;0,0000041;17,93;
Республика Ингушетия;2;0,0000223;97,18;
Кабардино-Балкарская Республика;15;0,0000477;207,25;
Карачаево-Черкесская Республика;6;0,0000403;175,20;
Республика Северная Осетия — Алания;7;0,0000270;117,61;
Ростовская область;68;0,0000241;104,77;
Азов;1;0,0000191;83,39;
Гуково;2;0,0000851;369,92;
Новошахтинск;1;0,0000269;117,08;
Шахты;2;0,0000186;80,87;
Будённовск;1;0,0000344;149,66;
Георгиевск;1;0,0000317;137,99;
Кисловодск;5;0,0000856;372,20;
Минеральные Воды;3;0,0000741;322,16;
Пятигорск;1;0,0000104;45,30;
Ставропольский край;40;0,0000271;117,94;
Кировская область;7;0,0000090;39,35;
Кирово-Чепецк;2;0,0000502;218,26;
Республика Марий Эл;2;0,0000054;23,89;
Нижегородская область;49;0,0000175;76,25;
Оренбургская область;20;0,0000178;77,53;
Пензенская область;16;0,0000200;87,22;
Пермский край;28;0,0000179;78,08;
Республика Башкортостан;52;0,0000228;99,32;
Салават;7;0,0001083;470,46;
Стерлитамак;5;0,0000337;146,79;
Республика Мордовия;10;0,0000235;102,29;
Республика Татарстан;64;0,0000263;114,38;
Альметьевск;2;0,0000217;94,31;
Нижнекамск;6;0,0000465;202,01;
Чистополь;2;0,0000710;308,68;
Самарская область;26;0,0000122;53,24;
Новокуйбышевск;1;0,0000097;42,15;
Балашов;1;0,0000259;112,89;
Саратовская область;17;0,0000115;50,15;
Энгельс;1;0,0000072;31,63;
Удмуртская Республика;28;0,0000295;128,33;
Воткинск;3;0,0000604;262,58;
Глазов;1;0,0000173;75,52;
Сарапул;2;0,0000421;183,12;
Ульяновская область;3;0,0000041;18,21;
Чувашская Республика;12;0,0000163;70,89;
Курганская область;3;0,0000073;31,87;
Свердловская область;98;0,0000290;126,09;
Каменск-Уральский;1;0,0000096;41,99;
Новоуральск;1;0,0000215;93,55;
Первоуральск;2;0,0000252;109,66;
Тобольск;3;0,0000413;179,42;
Тюменская область;28;0,0000239;103,88;
Ялуторовск;2;0,0000880;382,54;
Мегион;1;0,0000396;172,42;
Нефтеюганск;1;0,0000134;58,24;
Радужный;1;0,0000599;260,24;
Урай;2;0,0000819;355,79;
Ханты-Мансийский автономный округ - Югра;13;0,0000120;52,43;
Миасс;2;0,0000211;91,70;
Озёрск;2;0,0000457;198,80;
Челябинская область;27;0,0000124;54,06;
Новый Уренгой;3;0,0000336;146,30;
Ноябрьск;3;0,0000572;248,57;
Ямало-Ненецкий автономный округ;6;0,0000165;71,76;
Алтайский край;15;0,0000121;52,70;
Новоалтайск;2;0,0000458;199,03;
Иркутская область;21;0,0000142;61,71;
Усть-Илимск;1;0,0000254;110,62;
Черемхово;4;0,0001494;649,40;
Кемеровская область (Кузбасс);21;0,0000147;63,97;
Междуреченск;1;0,0000184;80,08;
Прокопьевск;1;0,0000119;52,01;
Красноярский край;35;0,0000187;81,39;
Минусинск;1;0,0000215;93,43;
Норильск;4;0,0000430;186,85;
Бердск;2;0,0000276;120,14;
Новосибирская область;54;0,0000243;105,87;
Омская область;11;0,0000099;43,28;
Республика Бурятия;10;0,0000214;93,04;
Республика Хакасия;3;0,0000096;41,73;
Томская область;7;0,0000118;51,48;
Амурская область;1;0,0000029;12,92;
Камчатский край;7;0,0000438;190,37;
Магаданская область;1;0,0000144;62,86;
Артём;7;0,0001371;595,82;
Приморский край;18;0,0000204;88,66;
Уссурийск;3;0,0000413;179,41;
Республика Саха (Якутия);8;0,0000213;92,95;
Сахалинская область;4;0,0000163;71,18;
Хабаровский край;7;0,0000105;45,65;
Керчь;1;0,0000128;55,83;
Карасук;3;0,0001926;836,94;
Пушкинский район;4;0,0000347;151,15;
Электросталь;4;0,0000407;176,90;
Саки;1;0,0000555;241,14;
Строитель;6;0,0002569;1 116,14;
Североуральск;2;0,0001513;657,28;
Троицк;1;0,0000520;225,89;
Реж;2;0,0001033;449,05;
Красноуфимск;1;0,0000427;185,85;
Славянск-на-Кубани;1;0,0000299;130,10;
Верхняя Пышма;2;0,0000318;138,30;
Королёв;3;0,0000151;65,63;
Кокшетау;1;0,0000365;158,64;
Барановичи;1;0,0000251;109,24;
Тимашевск;1;0,0000298;129,75;
Пинск;4;0,0001475;641,04;
Фрязино;1;0,0000209;91,21;
Реутов;7;0,0000714;310,32;
Кубинка;1;0,0000659;286,61;
Лобня;1;0,0000123;53,80;
Хотьково;1;0,0000583;253,37;
Краснознаменск;1;0,0000336;146,24;
Нахабино;1;0,0000215;93,78;
Забайкальский край;13;0,0000249;108,24;
Осиповичи;1;0,0001580;686,53;
Новополоцк;2;0,0000827;359,49;
Жодино;1;0,0000753;327,41;
Волковыск;1;0,0001499;651,25;
Джанкой;1;0,0000446;194,05;
Абхазия;1;0,0000244;106,21;
Берёзовский (Свердловская область);2;0,0000383;166,51;
Акмолинская область;12;0,0000396;172,29;
Алматы и область;14;0,0000339;147,66;
Атырау и область;1;0,0000222;96,54;
Караганда и область;2;0,0000144;62,95;
Костанай и область;3;0,0000276;120,13;
Павлодар и область;1;0,0000113;49,37;
Северо-Казахстанская область;5;0,0000814;353,95;
Могилёв и область;2;0,0000079;34,48;
Минск и область;22;0,0000201;87,67;
Гомель и область;6;0,0000174;75,89;
Брест и область;7;0,0000246;107,09;
Витебск и область;4;0,0000134;58,46;
Гродно и область;2;0,0000097;42,36;
Темиртау;2;0,0001097;476,77;
Новочебоксарск;1;0,0000130;56,84;
Волоколамский район;1;0,0000234;102,01;
Дмитровский городской округ;3;0,0000164;71,52;
Истра (городской округ);5;0,0000249;108,53;
Клин (городской округ);5;0,0000478;208,01;
Красногорск (городской округ);14;0,0000436;189,68;
Ленинский район;9;0,0000294;127,72;
Луховицы (городской округ);2;0,0000504;219,23;
Люберцы (городской округ);18;0,0000411;178,64;
Мытищи (городской округ);12;0,0000329;142,92;
Наро-Фоминский городской округ;6;0,0000371;161,43;
Богородский (городской округ);5;0,0000243;105,89;
Одинцовский район;6;0,0000133;58,05;
Павловский Посад (городской округ);1;0,0000149;64,99;
Пушкинский район;4;0,0000139;60,47;
Раменский район;9;0,0000309;134,48;
Рузский городской округ;1;0,0000164;71,35;
Сергиево-Посадский район;1;0,0000051;22,36;
Солнечногорский район;17;0,0000743;323,14;
Чехов (городской округ);3;0,0000219;95,30;
Щёлковский район;5;0,0000228;99,28;
Всеволожский район;29;0,0000494;214,87;
Выборгский район;6;0,0000479;208,37;
Гатчинский район;1;0,0000060;26,14;
Кировский район;4;0,0000363;157,75;
Приозерский район;1;0,0000230;100,14;
Яковлевский район;6;0,0001420;617,16;
Бологовский район;1;0,0000605;262,82;
Угличский район;2;0,0000820;356,50;
Сегежский район;3;0,0001975;858,28;
Ейский район;1;0,0000143;62,41;
Крымский район;1;0,0000172;74,74;
Славянский район;1;0,0000188;81,91;
Тимашевский район;1;0,0000189;82,33;
Будённовский район;1;0,0000227;98,96;
Кстовский район;3;0,0000246;107,17;
Белебеевский район;2;0,0000459;199,60;
Учалинский район;1;0,0000296;128,60;
Балашовский район;1;0,0000215;93,79;
Энгельсский район;1;0,0000061;26,60;
Карасукский район;3;0,0001926;836,94;
Волковысский район;1;0,0001499;651,25;
Осиповичский район;1;0,0001580;686,53;
Оршанский район;1;0,0000327;142,20;
Северный Кавказ;73;0,0000226;98,24;
Провинция Анталья;1;0,0000245;106,79;
Провинция Мерсин;1;0,0001655;719,31;
Провинция Мугла;1;0,0002348;1 019,99;
Хайфский АО;2;0,0007539;3 274,97;
Область Гехаркуник;1;0,0004335;1 883,16;
Область Ширак;1;0,0002149;933,66;
Илийский район;1;0,0000633;275,32;
Автономная Республика Аджария;1;0,0000770;334,62;
