country,year,students
Румыния,2004,9.0
Румыния,2005,16.0
Румыния,2006,16.0
Румыния,2007,14.0
Румыния,2008,2.0
Румыния,2009,14.0
Румыния,2010,15.0
Румыния,2011,11.0
Румыния,2013,25.0
Румыния,2014,22.0
Румыния,2015,15.0
Румыния,2016,25.0
Румыния,2017,35.0
Румыния,2018,30.0
Румыния,2019,27.0
Румыния,2020,36.0
Румыния,2021,44.0
Румыния,2022,46.0
Румыния,2023,58.0
RWA,2012,2.0
SAU,2003,120.0
SAU,2004,148.0
SAU,2005,116.0
SAU,2007,78.0
SAU,2008,83.0
SAU,2009,88.0
SAU,2010,119.0
SAU,2011,225.0
SAU,2012,300.0
SAU,2013,520.0
SAU,2014,601.0
SAU,2015,572.0
SAU,2016,584.0
SAU,2017,577.0
SAU,2018,537.0
SAU,2019,356.0
SAU,2020,444.0
SAU,2021,444.0
SAU,2022,479.0
SAU,2024,604.0
SEN,2024,2.0
SLV,2001,1.0
SLV,2006,1.0
SRB,2007,10.0
SRB,2008,18.0
SRB,2009,20.0
SRB,2010,26.0
SRB,2011,22.0
SRB,2012,24.0
SRB,2013,24.0
SRB,2014,26.0
SRB,2015,93.0
SRB,2016,93.0
SRB,2017,120.0
SRB,2018,123.0
SRB,2019,130.0
SRB,2020,140.0
SRB,2021,130.0
SRB,2022,131.0
SRB,2023,189.0
SRB,2024,342.0
Словакия,2000,28.0
Словакия,2001,35.0
Словакия,2002,47.0
Словакия,2003,32.0
Словакия,2004,26.0
Словакия,2005,24.0
Словакия,2006,14.0
Словакия,2007,21.0
Словакия,2008,35.0
Словакия,2009,40.0
Словакия,2010,28.0
Словакия,2011,23.0
Словакия,2012,25.0
Словакия,2013,63.0
Словакия,2014,83.0
Словакия,2015,99.0
Словакия,2016,106.0
Словакия,2017,99.0
Словакия,2018,138.0
Словакия,2019,228.0
Словакия,2020,370.0
Словакия,2021,580.0
Словакия,2022,714.0
Словакия,2023,961.0
Словакия,2024,1253.0
Словения,2000,10.0
Словения,2001,7.0
Словения,2002,16.0
Словения,2003,17.0
Словения,2004,9.0
Словения,2005,10.0
Словения,2006,11.0
Словения,2007,14.0
Словения,2008,19.0
Словения,2009,28.0
Словения,2010,23.0
Словения,2011,25.0
Словения,2012,37.0
Словения,2013,38.0
Словения,2014,40.0
Словения,2015,47.0
Словения,2016,56.0
Словения,2017,90.0
Словения,2018,111.0
Словения,2019,160.0
Словения,2020,192.0
Словения,2021,227.0
Словения,2022,235.0
Словения,2023,356.0
Швеция,2000,462.0
Швеция,2001,524.0
Швеция,2002,584.0
Швеция,2003,643.0
Швеция,2004,54.0
Швеция,2005,67.0
Швеция,2006,37.0
Швеция,2007,65.0
Швеция,2008,255.0
Швеция,2009,385.0
Швеция,2010,471.0
Швеция,2011,643.0
Швеция,2012,512.0
Швеция,2013,420.0
Швеция,2014,390.0
Швеция,2015,364.0
Швеция,2016,357.0
Швеция,2017,340.0
Швеция,2018,334.0
Швеция,2019,303.0281677246094
Швеция,2020,288.8740234375
Швеция,2021,279.0863342285156
Швеция,2022,298.8550720214844
Швеция,2023,291.6416625976563
Швеция,2024,307.2713012695313
SXM,2012,1.0
THA,2001,15.0
THA,2002,20.0
THA,2004,14.0
THA,2005,20.0
THA,2006,24.0
THA,2007,22.0
THA,2008,30.0
THA,2009,35.0
THA,2010,47.0
THA,2011,51.0
THA,2012,61.0
THA,2015,105.0
THA,2016,149.0
THA,2020,62.0
THA,2022,110.0
THA,2023,113.0
THA,2024,177.0
Таджикистан,2000,161.0
Таджикистан,2001,101.0
Таджикистан,2002,1451.0
Таджикистан,2003,599.0
Таджикистан,2004,297.0
Таджикистан,2005,88.0
Таджикистан,2006,94.0
Таджикистан,2007,111.0
Таджикистан,2008,162.0
Таджикистан,2009,142.0
Таджикистан,2010,126.0
Таджикистан,2011,126.0
Таджикистан,2012,105.0
Таджикистан,2013,107.0
Таджикистан,2014,92.0
Таджикистан,2015,108.0
Таджикистан,2016,121.0
Таджикистан,2017,111.0
Туркменистан,2014,1.0
Туркменистан,2019,1.0
Туркменистан,2020,1.0
Туркменистан,2021,1.0
TTO,2019,1.0
TTO,2021,1.0
TUN,2013,7.0
TUN,2016,1.0
TUN,2017,2.0
TUN,2018,2.0
TUN,2022,1.0
TUN,2023,1.0
Турция,2000,1004.0
Турция,2001,924.0
Турция,2002,846.0
Турция,2003,720.0
Турция,2004,662.0
Турция,2005,625.0
Турция,2006,604.0
Турция,2007,556.0
Турция,2008,524.0
Турция,2009,491.0
Турция,2010,495.0
Турция,2011,516.0
Турция,2012,567.0
Турция,2013,60.0
Турция,2014,931.0
Турция,2015,1158.0
Турция,2016,1275.0
Турция,2017,1376.0
Турция,2018,1431.0
Турция,2019,1409.0
Турция,2020,1439.0
Турция,2021,1648.0
Турция,2022,1711.0
Турция,2023,3083.0
TZA,2001,71.0
TZA,2003,37.0
TZA,2004,40.0
TZA,2024,3.0
Украина,2005,3673.0
Украина,2006,4362.0
Украина,2007,4534.0
Украина,2008,4734.0
Украина,2009,4717.0
Украина,2010,3931.0
Украина,2011,3453.0
Украина,2012,2990.0
Украина,2013,2878.0
Украина,2014,2930.0
Украина,2015,1814.0
Украина,2016,1509.0
Украина,2017,1114.0
Украина,2018,783.0
Украина,2019,657.0
Украина,2020,623.0
Украина,2021,1191.0
Украина,2023,655.0
Украина,2024,651.0
США,2005,5299.0
США,2013,4687.55126953125
США,2014,4885.0
США,2015,5203.39306640625
США,2016,5156.380859375
США,2017,5081.23046875
США,2018,5074.3916015625
США,2020,4901.38623046875
США,2021,4466.392578125
США,2023,4542.87548828125
Узбекистан,2006,16.0
Узбекистан,2007,30.0
Узбекистан,2008,56.0
Узбекистан,2009,60.0
Узбекистан,2010,64.0
Узбекистан,2011,52.0
Узбекистан,2012,87.0
Узбекистан,2013,108.0
Узбекистан,2014,115.0
Узбекистан,2015,129.0
Узбекистан,2016,134.0
Узбекистан,2017,133.0
Узбекистан,2018,174.0
Узбекистан,2019,220.0
Узбекистан,2021,442.0
Узбекистан,2022,572.0
Узбекистан,2023,648.0
Узбекистан,2024,750.0
VNM,2000,7.0
VNM,2001,8.0
VNM,2002,13.0
VNM,2005,2.0
VNM,2007,2.0
VNM,2008,8.0
VNM,2010,7.0
VNM,2011,7.0
VNM,2012,4.0
VNM,2013,17.0
VNM,2014,5.0
VNM,2016,2.0
VNM,2017,2.0
VNM,2019,7.0
VNM,2020,12.0
VNM,2021,22.0
VNM,2022,22.0
ZAF,2011,62.0
ZAF,2012,23.0
ZAF,2013,30.0
ZAF,2014,26.0
ZAF,2015,27.0
ZAF,2016,31.0
ZAF,2017,34.0
ZAF,2018,34.0
ZAF,2019,27.0
ZAF,2020,20.0
ZAF,2021,19.0
ZAF,2022,13.0
ZAF,2023,9.0
